X,Y,Count,Pct
0.26,0.2,0,0.0
0.26,0.25,0,0.0
0.26,0.3,0,0.0
0.26,0.35,0,0.0
0.26,0.4,0,0.0
0.26,0.45,0,0.0
0.26,0.5,0,0.0
0.26,0.55,0,0.0
0.26,0.6,0,0.0
0.26,0.65,0,0.0
0.26,0.7,0,0.0
0.26,0.75,0,0.0
0.26,0.8,1,0.0003792188092529389
0.26,0.85,0,0.0
0.26,0.9,0,0.0
0.26,0.95,0,0.0
0.26,1.0,0,0.0
0.27,0.0,0,0.0
0.27,0.05,0,0.0
0.27,0.1,0,0.0
0.27,0.15,0,0.0
0.27,0.2,0,0.0
0.27,0.25,0,0.0
0.27,0.3,0,0.0
0.27,0.35,0,0.0
0.27,0.4,0,0.0
0.27,0.45,0,0.0
0.27,0.5,0,0.0
0.27,0.55,0,0.0
0.27,0.6,0,0.0
0.27,0.65,0,0.0
0.27,0.7,0,0.0
0.27,0.75,0,0.0
0.27,0.8,0,0.0
0.27,0.85,0,0.0
0.27,0.9,0,0.0
0.27,0.95,0,0.0
0.27,1.0,1,0.0003792188092529389
0.28,0.0,0,0.0
0.28,0.05,0,0.0
0.28,0.1,0,0.0
0.28,0.15,0,0.0
0.28,0.2,0,0.0
0.28,0.25,0,0.0
0.28,0.3,0,0.0
0.28,0.35,0,0.0
0.28,0.4,0,0.0
0.28,0.45,0,0.0
0.28,0.5,0,0.0
0.28,0.55,0,0.0
0.28,0.6,0,0.0
0.28,0.65,1,0.0003792188092529389
0.28,0.7,0,0.0
0.28,0.75,0,0.0
0.28,0.8,0,0.0
0.28,0.85,0,0.0
0.28,0.9,0,0.0
0.28,0.95,0,0.0
0.28,1.0,0,0.0
0.29,0.0,0,0.0
0.29,0.05,0,0.0
0.29,0.1,0,0.0
0.29,0.15,0,0.0
0.29,0.2,0,0.0
0.29,0.25,0,0.0
0.29,0.3,0,0.0
0.29,0.35,0,0.0
0.29,0.4,0,0.0
0.29,0.45,0,0.0
0.29,0.5,0,0.0
0.29,0.55,0,0.0
0.29,0.6,0,0.0
0.29,0.65,0,0.0
0.29,0.7,0,0.0
0.29,0.75,1,0.0003792188092529389
0.29,0.8,1,0.0003792188092529389
0.29,0.85,0,0.0
0.29,0.9,0,0.0
0.29,0.95,0,0.0
0.29,1.0,0,0.0
0.3,0.0,0,0.0
0.3,0.05,0,0.0
0.3,0.1,0,0.0
0.3,0.15,0,0.0
0.3,0.2,0,0.0
0.3,0.25,0,0.0
0.3,0.3,0,0.0
0.3,0.35,0,0.0
0.3,0.4,0,0.0
0.3,0.45,0,0.0
0.3,0.5,0,0.0
0.3,0.55,0,0.0
0.3,0.6,0,0.0
0.3,0.65,0,0.0
0.3,0.7,0,0.0
0.3,0.75,0,0.0
0.3,0.8,0,0.0
0.3,0.85,0,0.0
0.3,0.9,0,0.0
0.3,0.95,0,0.0
0.3,1.0,0,0.0
0.31,0.0,0,0.0
0.31,0.05,0,0.0
0.31,0.1,0,0.0
0.31,0.15,0,0.0
0.31,0.2,0,0.0
0.31,0.25,0,0.0
0.31,0.3,0,0.0
0.31,0.35,0,0.0
0.31,0.4,0,0.0
0.31,0.45,0,0.0
0.31,0.5,0,0.0
0.31,0.55,0,0.0
0.31,0.6,0,0.0
0.31,0.65,0,0.0
0.31,0.7,0,0.0
0.31,0.75,0,0.0
0.31,0.8,0,0.0
0.31,0.85,0,0.0
0.31,0.9,0,0.0
0.31,0.95,0,0.0
0.31,1.0,0,0.0
